id;number_plate;vehicle_type;entity_status;creation_date;modified_date
1;readily psst;VAN;INACTIVE;2023-10-26T07:26:06;2023-10-26T06:54:37
2;betray;BUS;INACTIVE;2023-10-26T12:27:05;2023-10-26T06:30:23
3;needle ew;VAN;INACTIVE;2023-10-26T07:07:53;2023-10-26T14:36:37
4;needy;VAN;ACTIVE;2023-10-26T06:12:40;2023-10-26T01:25:49
5;what reprocessing;VAN;ACTIVE;2023-10-26T09:20:44;2023-10-25T21:17:50
6;oh scapegoat or;VAN;ACTIVE;2023-10-26T03:35:53;2023-10-26T10:43:59
7;fair next;VAN;ACTIVE;2023-10-26T09:36:52;2023-10-26T00:13:54
8;mostly wiretap versus;BUS;ACTIVE;2023-10-26T09:11:13;2023-10-26T12:09:18
9;climb;BUS;ACTIVE;2023-10-26T10:40:42;2023-10-25T18:59:12
10;team;BUS;ACTIVE;2023-10-26T13:23:09;2023-10-26T07:44:13
