id;status;pickup_time;drop_off_time;entity_status;creation_date;modified_date
1;DROPPED_OFF;2023-10-26T11:15:35;2023-10-26T04:18:19;INACTIVE;2023-10-26T02:08:37;2023-10-25T18:40:28
2;BOARDED;2023-10-25T22:39:46;2023-10-25T22:53:03;INACTIVE;2023-10-26T10:30:17;2023-10-26T00:45:51
3;BOARDED;2023-10-25T23:34:23;2023-10-26T00:35:58;INACTIVE;2023-10-26T11:24:00;2023-10-25T20:51:34
4;BOARDED;2023-10-25T20:34:30;2023-10-26T02:15:05;ACTIVE;2023-10-25T21:25:50;2023-10-26T10:23:45
5;DROPPED_OFF;2023-10-25T18:26:14;2023-10-26T00:28:35;ACTIVE;2023-10-25T22:53:20;2023-10-26T07:37:10
6;DROPPED_OFF;2023-10-26T12:42:04;2023-10-26T09:45:02;ACTIVE;2023-10-26T12:26:05;2023-10-25T16:54:30
7;DROPPED_OFF;2023-10-26T10:31:34;2023-10-26T08:32:59;INACTIVE;2023-10-25T16:08:51;2023-10-26T02:11:05
8;BOARDED;2023-10-26T05:51:10;2023-10-25T16:47:02;ACTIVE;2023-10-25T15:36:17;2023-10-25T22:12:37
9;DROPPED_OFF;2023-10-26T03:45:32;2023-10-26T05:44:25;INACTIVE;2023-10-26T00:53:23;2023-10-26T03:46:45
10;BOARDED;2023-10-25T18:07:47;2023-10-26T05:15:49;ACTIVE;2023-10-25T17:21:16;2023-10-25T19:39:43
