id;trip_type;trip_status;start_time;end_time;entity_status;creation_date;modified_date
1;DROPOFF;COMPLETED;2023-10-26T02:51:35;2023-10-26T13:58:16;ACTIVE;2023-10-25T15:33:43;2023-10-26T02:57:18
2;FIELDTRIP;ONGOING;2023-10-26T14:30:22;2023-10-26T14:34:53;INACTIVE;2023-10-25T14:58:04;2023-10-25T15:41:40
3;PICKUP;STARTED;2023-10-26T05:14:11;2023-10-26T07:17:19;INACTIVE;2023-10-25T17:54:03;2023-10-25T23:30:44
4;FIELDTRIP;ONGOING;2023-10-25T21:17:45;2023-10-26T02:16:08;INACTIVE;2023-10-25T23:29:21;2023-10-25T21:40:42
5;FIELDTRIP;STARTED;2023-10-26T07:29:37;2023-10-26T06:49:55;ACTIVE;2023-10-25T17:18:55;2023-10-25T18:28:14
6;FIELDTRIP;ONGOING;2023-10-26T03:35:45;2023-10-25T17:06:23;INACTIVE;2023-10-26T04:55:20;2023-10-25T17:44:58
7;DROPOFF;STARTED;2023-10-26T13:46:03;2023-10-25T18:02:15;INACTIVE;2023-10-26T03:51:09;2023-10-26T04:31:02
8;FIELDTRIP;COMPLETED;2023-10-25T21:59:10;2023-10-25T21:01:41;ACTIVE;2023-10-26T09:23:35;2023-10-25T15:51:38
9;PICKUP;ONGOING;2023-10-26T09:15:31;2023-10-26T03:13:37;ACTIVE;2023-10-26T03:32:34;2023-10-26T00:12:23
10;FIELDTRIP;STARTED;2023-10-26T10:44:29;2023-10-26T06:49:53;INACTIVE;2023-10-26T05:09:34;2023-10-26T07:05:26
